Time,Input,Output
0.02,1.2191999999999998,0.0
0.04,1.2191999999999998,0.016760490137445645
0.06,1.2191999999999998,0.04078546564438759
0.08,1.2191999999999998,0.067728672544147
0.1,1.2191999999999998,0.09560645181186486
0.12000000000000001,1.2191999999999998,0.12351891047747263
0.14,1.2191999999999998,0.1510631609961041
0.16,1.2191999999999998,0.17806410341072762
0.18,1.2191999999999998,0.20445090609389194
0.19999999999999998,1.2191999999999998,0.2302003374742718
0.21999999999999997,1.2191999999999998,0.25531077096444105
0.23999999999999996,1.2191999999999998,0.279790263574491
0.25999999999999995,1.2191999999999998,0.3036510918290654
0.27999999999999997,1.2191999999999998,0.3269072503528145
0.3,1.2191999999999998,0.3495733096781804
0.32,1.2191999999999998,0.3716638975670421
0.34,1.2191999999999998,0.39319346628331087
0.36000000000000004,1.2191999999999998,0.4141761909353441
0.38000000000000006,1.2191999999999998,0.43462592782717346
0.4000000000000001,1.2191999999999998,0.4545562002168035
0.4200000000000001,1.2191999999999998,0.473980196526084
0.4400000000000001,1.2191999999999998,0.492910774143241
0.46000000000000013,1.2191999999999998,0.5113604656740377
0.48000000000000015,1.2191999999999998,0.5293414862019691
0.5000000000000001,1.2191999999999998,0.5468657408998664
0.5200000000000001,1.2191999999999998,0.5639448326940051
0.5400000000000001,1.2191999999999998,0.5805900698463328
0.5600000000000002,1.2191999999999998,0.5968124733958478
0.5800000000000002,1.2191999999999998,0.6126227844346958
0.6000000000000002,1.2191999999999998,0.6280314712103314
0.6200000000000002,1.2191999999999998,0.6430487360522653
0.6400000000000002,1.2191999999999998,0.6576845221251474
0.6600000000000003,1.2191999999999998,0.6719485200113564
0.6800000000000003,1.2191999999999998,0.6858501741268572
0.7000000000000003,1.2191999999999998,0.6993986889742992
0.7200000000000003,1.2191999999999998,0.7126030352373715
0.7400000000000003,1.2191999999999998,0.725471955720391
0.7600000000000003,1.2191999999999998,0.7380139711370319
0.7800000000000004,1.2191999999999998,0.7502373857520142
0.8000000000000004,1.2191999999999998,0.7621502928794832
0.8200000000000004,1.2191999999999998,0.7737605802417183
0.8400000000000004,1.2191999999999998,0.785075935191716
0.8600000000000004,1.2191999999999998,0.7961038498031064
0.8800000000000004,1.2191999999999998,0.8068516258307724
0.9000000000000005,1.2191999999999998,0.8173263795454556
0.9200000000000005,1.2191999999999998,0.8275350464455508
0.9400000000000005,1.2191999999999998,0.8374843858492076
0.9600000000000005,1.2191999999999998,0.8471809853697811
0.9800000000000005,1.2191999999999998,0.8566312652775939
1.0000000000000004,1.2191999999999998,0.865841482750897
1.0200000000000005,1.2191999999999998,0.874817736018846
1.0400000000000005,1.2191999999999998,0.8835659683992342
1.0600000000000005,1.2191999999999998,0.8920919722336556
1.0800000000000005,1.2191999999999998,0.9004013927227056
1.1000000000000005,1.2191999999999998,0.9084997316637565
1.1200000000000006,1.2191999999999998,0.9163923510937837
1.1400000000000006,1.2191999999999998,0.9240844768396541
1.1600000000000006,1.2191999999999998,0.931581201978228
1.1800000000000006,1.2191999999999998,0.9388874902085652
1.2000000000000006,1.2191999999999998,0.9460081791384675
1.2200000000000006,1.2191999999999998,0.9529479834875347
1.2400000000000007,1.2191999999999998,0.9597114982088546
1.2600000000000007,1.2191999999999998,0.9663032015313925
1.2800000000000007,1.2191999999999998,0.9727274579250976
1.3000000000000007,1.2191999999999998,0.9789885209906863
1.3200000000000007,1.2191999999999998,0.9850905362760182
1.3400000000000007,1.2191999999999998,0.9910375440209278
1.3600000000000008,1.2191999999999998,0.996833481832331
1.3800000000000008,1.2191999999999998,1.0024821872913758
1.4000000000000008,1.2191999999999998,1.0079874004943654
1.4200000000000008,1.2191999999999998,1.0133527665291338
1.4400000000000008,1.2191999999999998,1.0185818378885163
1.4600000000000009,1.2191999999999998,1.02367807682251
1.4800000000000009,1.2191999999999998,1.028644857630684
1.5000000000000009,1.2191999999999998,1.0334854688963557
1.520000000000001,1.2191999999999998,1.038203115664014
1.540000000000001,1.2191999999999998,1.0428009215614282
1.560000000000001,1.2191999999999998,1.0472819308678523
1.580000000000001,1.2191999999999998,1.0516491105296886
1.600000000000001,1.2191999999999998,1.0559053521249504
1.620000000000001,1.2191999999999998,1.0600534737778202
1.640000000000001,1.2191999999999998,1.0640962220245747
1.660000000000001,1.2191999999999998,1.0680362736321087
1.680000000000001,1.2191999999999998,1.0718762373702648
1.700000000000001,1.2191999999999998,1.0756186557391405
1.720000000000001,1.2191999999999998,1.0792660066525175
1.740000000000001,1.2191999999999998,1.0828207050785272
1.7600000000000011,1.2191999999999998,1.0862851046386388
1.7800000000000011,1.2191999999999998,1.089661499166029
1.8000000000000012,1.2191999999999998,1.0929521242243645
1.8200000000000012,1.2191999999999998,1.0961591585880044
1.8400000000000012,1.2191999999999998,1.0992847256846001
1.8600000000000012,1.2191999999999998,1.1023308950010504
1.8800000000000012,1.2191999999999998,1.1052996834537412
1.9000000000000012,1.2191999999999998,1.1081930567239773
1.9200000000000013,1.2191999999999998,1.1110129305594902
1.9400000000000013,1.2191999999999998,1.113761172042886
1.9600000000000013,1.2191999999999998,1.1164396008278685
1.9800000000000013,1.2191999999999998,1.1190499903440616
2.0000000000000013,1.2191999999999998,1.121594068971224
2.0200000000000014,1.2191999999999998,1.124073521183637
2.0400000000000014,1.2191999999999998,1.126489988665421
2.0600000000000014,1.2191999999999998,1.1288450713975204
2.0800000000000014,1.2191999999999998,1.131140328717076
2.1000000000000014,1.2191999999999998,1.1333772803498865
2.1200000000000014,1.2191999999999998,1.1355574074166428
